gene,function(s)_win,function(s)_lost,module(s)_win,module(s)_lost
G319_317_318,,P00488_F13A1|P00751_CFB|P01024_C3|P01042_KNG1|P01860_IGHG3|P02462_COL4A1|P02647_APOA1|P02652_APOA2|P02749_APOH|P02765_AHSG|P02774_GC|P04083_ANXA1|P06870_KLK1|P07355_ANXA2|P08254_MMP3|P08603_CFH|P08670_VIM|P09382_LGALS1|P09668_CTSH|P0C0L5_C4B|P12109_COL6A1|P12110_COL6A2|P13928_ANXA8|P14174_MIF|P20062_TCN2|P20774_OGN|P25189_MPZ|P25774_CTSS|P35237_SERPINB6|P47929_LGALS7|P51884_LUM|P62736_ACTA2|P68871_HBB|Q03135_CAV1|Q05707_COL14A1|Q07507_DPT|Q13445_TMED1|Q14624_ITIH4|Q15063_POSTN|Q15084_PDIA6|Q15113_PCOLCE|Q15517_CDSN|Q5VX71_SUSD4|Q6E0U4_DMKN|Q6NZI2_CAVIN1|Q6ZN18_AEBP2|Q8N2C7_UNC80|Q9UI42_CPA4,B1804|B1351|B510|B563|B1413|B1368|B1344,B1492|B605|B606|B1637
NP055059.2_9606_320,O75173_ADAMTS4|P02787_TF|P13727_PRG2|P20151_KLK2|P22304_IDS|P27986_PIK3R1|P29016_CD1B|Q13291_SLAMF1|Q16635_TAFAZZIN|Q16635_TAZ|Q5QGZ9_CLEC12A|Q6UWN0_LYPD4|Q86T26_TMPRSS11B|Q8WWY8_LIPH|Q8WYR1_PIK3R5|Q92187_ST8SIA4|Q93079_H2BC9|Q96GX1_TCTN2|Q99965_ADAM2|Q9NY97_B3GNT2|Q9UK85_DKKL1|Q9UKF2_ADAM30,,,
G324_322_323,P02768_ALB|P02790_HPX|P07585_DCN|P07858_CTSB|Q9UBP4_DKK3,,B1621|B1640|B1623|B1618|B1627|B1620|B1629,B1340|B1341|B1835
XP040503121.1_9031_325,,P01023_A2M|P01034_CST3|P12111_COL6A3|P51888_PRELP,,
G326_324_325,P01023_A2M,,B1641|B1638|B510|B1626|B1643,B605|B606
XP012815203.2_8364_327,,P01034_CST3|P02751_FN1|P12111_COL6A3|P51888_PRELP|P78509_RELN,B510,B1404|B884|B1312
G328_326_327,P01034_CST3|P12111_COL6A3|P51888_PRELP,P30443_HLAA,B1644|B563|B1636|B1631|B1632|B1835,B1391|B657|B1362|B1393|B645|B658
G329_319_328,P78509_RELN,,,B510|B563
NP631894.2_9606_330,O00213_APBB1|O94985_CLSTN1|P01135_TGFA|P08572_COL4A2|P24593_IGFBP5|P39060_COL18A1|P98095_FBLN2|P98160_HSPG2|Q08397_LOXL1|Q14766_LTBP1|Q14767_LTBP2|Q16581_C3AR1,,B431,B1499
NP001074596.1_10090_333,,P02768_ALB|P02790_HPX|P07858_CTSB|Q9UBP4_DKK3,,B1404|B882|B884|B1312|B1406|B1637|B1409
G334_332_333,P01023_A2M|P02768_ALB|P02790_HPX|P07585_DCN|P07858_CTSB|P13611_VCAN|Q9UBP4_DKK3,,B1485|B1499|B1486|B1497|B1493|B1410|B1496|B1481|B1498|B1472,B1407
XP004942102.1_9031_335,,P01034_CST3|P12111_COL6A3|P51888_PRELP,,B657|B1492|B645|B658
G336_334_335,P01034_CST3|P12111_COL6A3,,B1480,
XP031762102.1_8364_337,,P02751_FN1|P30443_HLAA|P51888_PRELP,,B657|B645|B658
XP017214092.1_7955_339,,P00488_F13A1|P00751_CFB|P01024_C3|P01042_KNG1|P01860_IGHG3|P02462_COL4A1|P02647_APOA1|P02652_APOA2|P02749_APOH|P02751_FN1|P02765_AHSG|P02774_GC|P04083_ANXA1|P06870_KLK1|P07355_ANXA2|P08254_MMP3|P08603_CFH|P08670_VIM|P09382_LGALS1|P09668_CTSH|P0C0L5_C4B|P12109_COL6A1|P12110_COL6A2|P13928_ANXA8|P14174_MIF|P20062_TCN2|P20774_OGN|P25189_MPZ|P25774_CTSS|P30443_HLAA|P35237_SERPINB6|P47929_LGALS7|P51884_LUM|P51888_PRELP|P62736_ACTA2|P68871_HBB|Q03135_CAV1|Q05707_COL14A1|Q07507_DPT|Q13445_TMED1|Q14624_ITIH4|Q15063_POSTN|Q15084_PDIA6|Q15113_PCOLCE|Q15517_CDSN|Q5VX71_SUSD4|Q6E0U4_DMKN|Q6NZI2_CAVIN1|Q6ZN18_AEBP2|Q8N2C7_UNC80|Q9UI42_CPA4,,B1350|B657|B645|B658|B1637
G340_338_339,P51888_PRELP,Q03167_TGFBR3,B1474,B605|B606
G341_329_340,A0A024R8E5_COL5A1|A0A0S2Z3H5_COL1A2|O43897_TLL1|P00488_F13A1|P00751_CFB|P01024_C3|P01042_KNG1|P01860_IGHG3|P02452_COL1A1|P02458_COL2A1|P02461_COL3A1|P02462_COL4A1|P02647_APOA1|P02652_APOA2|P02749_APOH|P02751_FN1|P02765_AHSG|P02774_GC|P04083_ANXA1|P05997_COL5A2|P06870_KLK1|P07355_ANXA2|P08254_MMP3|P08603_CFH|P08670_VIM|P09382_LGALS1|P09668_CTSH|P0C0L5_C4B|P12107_COL11A1|P12109_COL6A1|P12110_COL6A2|P13497_BMP1|P13928_ANXA8|P13942_COL11A2|P14174_MIF|P20062_TCN2|P20774_OGN|P21810_BGN|P25189_MPZ|P25774_CTSS|P25940_COL5A3|P28799_GRN|P30443_HLAA|P35237_SERPINB6|P47929_LGALS7|P51884_LUM|P62736_ACTA2|P68871_HBB|Q03135_CAV1|Q03167_TGFBR3|Q05707_COL14A1|Q07507_DPT|Q13445_TMED1|Q14624_ITIH4|Q15063_POSTN|Q15084_PDIA6|Q15113_PCOLCE|Q15517_CDSN|Q17RW2_COL24A1|Q5VX71_SUSD4|Q6E0U4_DMKN|Q6NZI2_CAVIN1|Q6ZN18_AEBP2|Q8IZC6_COL27A1|Q8N2C7_UNC80|Q9UI42_CPA4,,B1404|B1340|B1378|B1350|B1391|B1360|B1380|B1492|B1407|B1415|B1399|B1341|B1394|B1362|B1349|B1393|B1403|B1374|B1483|B1390|B1637|B1409,
