gene,leaf,function(s)_win,function(s)_lost,module(s)_win,module(s)_lost
G163_161_162,XP003641878.3_9031_155,,,B1333|B1810|B1271|B583|B1808,
G163_161_162,XP002933006.3_8364_157,,,B1333|B1810|B1271|B583|B1808,
G163_161_162,XP021333676.1_7955_159,,,B1333|B1271|B583,
G163_161_162,XP002121766.2_7719_162,,,B904|B1333|B894|B1810|B893|B1271|B1845|B583|B1808,
NP572247.2_7227_164,NP572247.2_7227_164,,,,
G165_163_164,NP780710.2_10090_139,,,B561|B431,B1283|B583
G165_163_164,XP016865394.1_9606_140,,,B561|B431,B1283|B583
G165_163_164,NP001179538.1_9913_142,,,B561|B431,B583
G165_163_164,XP003643023.3_9031_144,,,B561|B431,B583
G165_163_164,XP017946319.2_8364_146,,,B561|B431,B1283|B583
G165_163_164,XP021332071.1_7955_148,,,B561|B431,B1283|B583
G165_163_164,XP005254194.1_9606_150,,,B561|B431,B1283|B583
G165_163_164,XP024837785.1_9913_151,,,B561|B431,B583
G165_163_164,NP001313280.1_10090_153,,,B561|B431,B1283|B583
G165_163_164,XP003641878.3_9031_155,,,B561|B431,B583
G165_163_164,XP002933006.3_8364_157,,,B561|B431,B1283|B583
G165_163_164,XP021333676.1_7955_159,,,B561|B431,B583
G165_163_164,XP002121766.2_7719_162,,,B561|B431,B904|B1845|B583
G165_163_164,NP572247.2_7227_164,,,B561|B431,
G166_138_165,NP008919.3_9606_0,,,B480|B762,
G166_138_165,NP001094550.1_9913_1,,,B480|B762,
G166_138_165,NP033751.3_10090_3,,,B480|B762,
G166_138_165,XP015154663.2_9031_5,,,B480|B762,
G166_138_165,NP001120905.1_8364_7,,,B480|B762,
G166_138_165,XP021331598.1_7955_9,,,B480|B762,
G166_138_165,NP005090.3_9606_11,,,B480|B762,
G166_138_165,NP858053.1_9913_12,,,B480|B762,
G166_138_165,NP766433.2_10090_14,,,B480|B762,
G166_138_165,XP015135540.3_9031_16,,,B480|B762,
G166_138_165,XP004919795.1_8364_18,,,B480|B762,
G166_138_165,NP038934.2_10090_21,,,B480,
G166_138_165,NP008968.4_9606_22,,,B480,
G166_138_165,NP001179254.1_9913_24,,,B480,
G166_138_165,XP015153616.2_9031_26,,,B480,
G166_138_165,XP002940685.2_8364_28,,,B480,
G166_138_165,XP021328605.1_7955_30,,,B480,
G166_138_165,XP001341878.1_7955_31,,,B480,
G166_138_165,XP698107.4_7955_33,,,B480,
G166_138_165,XP021332165.1_7955_34,,,B480,
G166_138_165,NP001019310.1_10090_39,,,B480|B762,
G166_138_165,NP620686.1_9606_40,,,B480|B762,
G166_138_165,NP001179319.1_9913_42,,,B480|B762,
G166_138_165,XP417874.2_9031_44,,,B480|B762,
G166_138_165,XP012822382.1_8364_46,,,B480|B762,
G166_138_165,XP021328606.1_7955_48,,,B480|B762,
G166_138_165,XP001341935.2_7955_49,,,B480|B762,
G166_138_165,NP001119901.1_7955_51,,,B480|B762,
G166_138_165,NP035912.2_10090_55,,,B480|B762,
G166_138_165,NP008969.2_9606_56,,,B480|B762,
G166_138_165,NP001159987.1_9913_58,,,B480|B762,
G166_138_165,XP425541.6_9031_60,,,B480|B762,
G166_138_165,XP002935740.1_8364_62,,,B480|B762,
G166_138_165,NP001289160.1_7955_64,,,B480|B762,
G166_138_165,XP002121984.1_7719_67,,,B480|B762,
G166_138_165,NP780523.3_10090_69,,,B480|B762,
G166_138_165,NP891550.1_9606_70,,,B480|B762,
G166_138_165,NP001193502.1_9913_72,,,B480|B762,
G166_138_165,XP004944721.3_9031_74,,,B1720|B480|B762,B1725
G166_138_165,NP001361725.1_8364_76,,,B480|B762,B1725
G166_138_165,NP001244125.1_7955_78,,,B1720|B480|B762,B1725
G166_138_165,XP011537056.1_9606_80,,,B1766|B480|B762,
G166_138_165,NP001193022.1_9913_81,,,B480|B762,
G166_138_165,XP006520926.1_10090_83,,,B480|B762,
G166_138_165,XP015137930.2_9031_85,,,B480|B762,
G166_138_165,XP002932868.3_8364_87,,,B480|B762,
G166_138_165,XP017210006.1_7955_89,,,B480|B762,
G166_138_165,XP026694849.1_7719_92,,,B480,
G166_138_165,NP001255448.1_6239_94,,,B1720|B1766|B762,
G166_138_165,NP996218.1_7227_97,,,,
G166_138_165,NP001074489.1_10090_99,,,B480,
G166_138_165,NP922932.2_9606_100,,,B480,
G166_138_165,NP001179945.1_9913_102,,,B480,
G166_138_165,XP025000716.1_9031_104,,,B480,
G166_138_165,XP002934253.2_8364_106,,,B480,B1725
G166_138_165,XP017213499.1_7955_108,,,B480,
G166_138_165,NP112219.3_9606_110,,,B480,
G166_138_165,XP024849927.1_9913_111,,,B480,
G166_138_165,NP766207.2_10090_113,,,B480,
G166_138_165,NP001376576.1_9031_115,,,B480,
G166_138_165,XP004911053.2_8364_117,,,B480,
G166_138_165,NP001116746.1_7955_119,,,B480,
G166_138_165,XP002127703.2_7719_122,,,B480,
G166_138_165,NP001352835.1_9606_124,,,,B1068
G166_138_165,XP024853897.1_9913_125,,,,B1068
G166_138_165,NP001192272.1_10090_127,,,,B1068
G166_138_165,XP004941721.2_9031_129,,,,B1068
G166_138_165,XP004917291.1_8364_131,,,,B1068
G166_138_165,XP005169942.1_7955_133,,,,B1068
G166_138_165,XP002121111.1_7719_135,,,,
G166_138_165,NP780710.2_10090_139,,,B480|B762,
G166_138_165,XP016865394.1_9606_140,,,B480|B762,
G166_138_165,NP001179538.1_9913_142,,,B480|B762,
G166_138_165,XP003643023.3_9031_144,,,B1766|B480|B762,
G166_138_165,XP017946319.2_8364_146,,,B480|B762,
G166_138_165,XP021332071.1_7955_148,,,B480|B762,
G166_138_165,XP005254194.1_9606_150,,,B480|B762,
G166_138_165,XP024837785.1_9913_151,,,B1766|B480|B762,
G166_138_165,NP001313280.1_10090_153,,,B480|B762,
G166_138_165,XP003641878.3_9031_155,,,B480|B762,
G166_138_165,XP002933006.3_8364_157,,,B480|B762,
G166_138_165,XP021333676.1_7955_159,,,B1720|B1766|B480|B762,
G166_138_165,XP002121766.2_7719_162,,,B480|B762,
G166_138_165,NP572247.2_7227_164,,,B480,
XP006530858.1_10090_167,XP006530858.1_10090_167,,Q6Y288_B3GLCT,,
NP955387.1_9606_168,NP955387.1_9606_168,P01834_IGKC|P11021_HSPA5|P78362_SRPK2,,,
G169_167_168,XP006530858.1_10090_167,Q6Y288_B3GLCT,,B1096,
G169_167_168,NP955387.1_9606_168,Q6Y288_B3GLCT,,B1096,
NP001179415.2_9913_170,NP001179415.2_9913_170,,,,
G171_169_170,XP006530858.1_10090_167,P02768_ALB,,B477|B1073|B1095,
G171_169_170,NP955387.1_9606_168,P02768_ALB,,B477|B1073|B1095,
G171_169_170,NP001179415.2_9913_170,P02768_ALB,,B477|B1073|B1095,
XP015148002.3_9031_172,XP015148002.3_9031_172,,,B477,
G173_171_172,XP006530858.1_10090_167,,,B1087|B1100,B477
G173_171_172,NP955387.1_9606_168,,,B1087|B1100,B477
G173_171_172,NP001179415.2_9913_170,,,B1087|B1100|B1748,B477
G173_171_172,XP015148002.3_9031_172,,,B1087|B1100|B1748,B477
XP012817732.1_8364_174,XP012817732.1_8364_174,,,,
G175_173_174,XP006530858.1_10090_167,,,B1074|B1075,
G175_173_174,NP955387.1_9606_168,,,B1752|B1074|B1075,
G175_173_174,NP001179415.2_9913_170,,,B1752|B1074|B1075|B1746,
G175_173_174,XP015148002.3_9031_172,,,B1752|B1074|B1075|B1746,
G175_173_174,XP012817732.1_8364_174,,,B1752|B1074|B1075|B1746,
XP009301678.1_7955_176,XP009301678.1_7955_176,,,,
G177_175_176,XP006530858.1_10090_167,,,B1092|B1085|B1082|B1112,
G177_175_176,NP955387.1_9606_168,,,B1092|B1085|B1082|B1751|B1174|B1112,
G177_175_176,NP001179415.2_9913_170,,,B1092|B1085|B1082|B1751,
G177_175_176,XP015148002.3_9031_172,,,B1092|B1085|B1082|B1751,
G177_175_176,XP012817732.1_8364_174,,,B1092|B1085|B1082|B1751,
G177_175_176,XP009301678.1_7955_176,,,B1092|B1085|B1082|B1751|B1174|B1112,
NP742050.2_10090_178,NP742050.2_10090_178,,,B884,
NP620687.2_9606_179,NP620687.2_9606_179,P11387_TOP1|P50454_SERPINH1,,,
G180_178_179,NP742050.2_10090_178,,,B1018,
G180_178_179,NP620687.2_9606_179,,,B1018,
XP024837310.1_9913_181,XP024837310.1_9913_181,,,,
G182_180_181,NP742050.2_10090_178,P02751_FN1,,B1025|B1012|B1057|B1004|B1003,B884
G182_180_181,NP620687.2_9606_179,P02751_FN1,,B1025|B1012|B1057|B1893|B1004|B1003|B1894,
G182_180_181,XP024837310.1_9913_181,P02751_FN1,,B1025|B1012|B1057|B1893|B1004|B1003|B1894,
XP031760055.1_8364_183,XP031760055.1_8364_183,,,,
G184_182_183,NP742050.2_10090_178,,,B1013,
G184_182_183,NP620687.2_9606_179,,,B1013,
G184_182_183,XP024837310.1_9913_181,,,B1013,
G184_182_183,XP031760055.1_8364_183,,,B1013,
XP001922446.3_7955_185,XP001922446.3_7955_185,,,,
G186_184_185,NP742050.2_10090_178,,,B1005,
G186_184_185,NP620687.2_9606_179,,,B636|B1005,
G186_184_185,XP024837310.1_9913_181,,,B636|B1005,
G186_184_185,XP031760055.1_8364_183,,,B1966|B1282,
G186_184_185,XP001922446.3_7955_185,,,B1966|B1005,
G187_177_186,XP006530858.1_10090_167,,,B1044|B1035|B1007|B1027|B594|B1115|B592|B1036|B1033|B1031|B1063|B1106|B1043|B1022|B1045,
G187_177_186,NP955387.1_9606_168,,,B1044|B1035|B1007|B1027|B594|B1115|B592|B1036|B1033|B1031|B1063|B1106|B1043|B1022|B1045,
G187_177_186,NP001179415.2_9913_170,,,B1044|B1035|B1007|B1027|B594|B592|B1036|B1033|B1031|B1063|B1043|B1022|B1045,
G187_177_186,XP015148002.3_9031_172,,,B1044|B1035|B1007|B1027|B594|B592|B1036|B1033|B1031|B1063|B1106|B1043|B1022|B1045,
G187_177_186,XP012817732.1_8364_174,,,B1035|B1007|B1027|B594|B592|B1036|B1033|B1031|B1063|B1043|B1045,
G187_177_186,XP009301678.1_7955_176,,,B1044|B1035|B1007|B1027|B594|B1115|B592|B1036|B1033|B1031|B1063|B1106|B1043|B1022|B1045,
G187_177_186,NP742050.2_10090_178,,,B1044|B1035|B1007|B1027|B594|B592|B1036|B1033|B1031|B1063|B1043|B1022|B1045,
G187_177_186,NP620687.2_9606_179,,,B1044|B1035|B1007|B1027|B594|B592|B1036|B1033|B1031|B1063|B1043|B1022|B1045,
G187_177_186,XP024837310.1_9913_181,,,B1044|B1035|B1007|B1027|B594|B592|B1036|B1033|B1031|B1063|B1043|B1022|B1045,
G187_177_186,XP031760055.1_8364_183,,,B1044|B1035|B1007|B1027|B594|B592|B1036|B1033|B1031|B1063|B1106|B1043|B1022|B1045,
G187_177_186,XP001922446.3_7955_185,,,B1044|B1035|B1007|B1027|B594|B1115|B592|B1036|B1033|B1031|B1063|B1106|B1043|B1022|B1045,
XP018673460.1_7719_188,XP018673460.1_7719_188,,,,
G189_187_188,XP006530858.1_10090_167,,,B561|B1090|B1067|B1030|B431|B1062,
G189_187_188,NP955387.1_9606_168,,,B561|B1090|B1067|B1030|B431|B1062,
G189_187_188,NP001179415.2_9913_170,,,B561|B1090|B1067|B1030|B431|B1062,
G189_187_188,XP015148002.3_9031_172,,,B561|B1090|B1067|B1030|B431|B1062,
G189_187_188,XP012817732.1_8364_174,,,B561|B1090|B1067|B1030|B431|B1062,
G189_187_188,XP009301678.1_7955_176,,,B561|B1090|B1067|B1030|B431|B1062,
G189_187_188,NP742050.2_10090_178,,,B561|B1067|B1030|B431|B1062,
G189_187_188,NP620687.2_9606_179,,,B561|B1067|B1030|B431|B1062,
G189_187_188,XP024837310.1_9913_181,,,B561|B1067|B1030|B431|B1062,
G189_187_188,XP031760055.1_8364_183,,,B561|B1090|B1067|B1030|B431|B1062,B1282
G189_187_188,XP001922446.3_7955_185,,,B561|B1067|B1030|B431|B1062,
G189_187_188,XP018673460.1_7719_188,,,B561|B1090|B1067|B1030|B431|B1062,
G190_166_189,NP008919.3_9606_0,,,B882|B436,
G190_166_189,NP001094550.1_9913_1,,,B436,
G190_166_189,NP033751.3_10090_3,,,B436,
G190_166_189,XP015154663.2_9031_5,,,B436,
G190_166_189,NP001120905.1_8364_7,,,B882|B436,
G190_166_189,XP021331598.1_7955_9,,,B882|B686|B436,
G190_166_189,NP005090.3_9606_11,,,B436,
G190_166_189,NP858053.1_9913_12,,,B436,
G190_166_189,NP766433.2_10090_14,,,B436,
G190_166_189,XP015135540.3_9031_16,,,,
G190_166_189,XP004919795.1_8364_18,,,B436,
G190_166_189,NP038934.2_10090_21,,,B436,
G190_166_189,NP008968.4_9606_22,,,B436,
G190_166_189,NP001179254.1_9913_24,,,B436,
G190_166_189,XP015153616.2_9031_26,,,B436,
G190_166_189,XP002940685.2_8364_28,,,B882|B436,
G190_166_189,XP021328605.1_7955_30,,,B436,
G190_166_189,XP001341878.1_7955_31,,,B436,
G190_166_189,XP698107.4_7955_33,,,B882|B436,
G190_166_189,XP021332165.1_7955_34,,,B882|B436,
G190_166_189,NP001019310.1_10090_39,,,B436,
G190_166_189,NP620686.1_9606_40,,,B436,
G190_166_189,NP001179319.1_9913_42,,,B882|B436,
G190_166_189,XP417874.2_9031_44,,,B436,
G190_166_189,XP012822382.1_8364_46,,,B686|B436,
G190_166_189,XP021328606.1_7955_48,,,B436,
G190_166_189,XP001341935.2_7955_49,,,B436,
G190_166_189,NP001119901.1_7955_51,,,B436,
G190_166_189,NP035912.2_10090_55,,,B436,
G190_166_189,NP008969.2_9606_56,,,B436,
G190_166_189,NP001159987.1_9913_58,,,B436,
G190_166_189,XP425541.6_9031_60,,,B436,
G190_166_189,XP002935740.1_8364_62,,,B436,
G190_166_189,NP001289160.1_7955_64,,,B686|B436,
G190_166_189,XP002121984.1_7719_67,,,,
G190_166_189,NP780523.3_10090_69,,,B882|B686|B436,
G190_166_189,NP891550.1_9606_70,,,B882|B686|B436,
G190_166_189,NP001193502.1_9913_72,,,B882|B686|B436,
G190_166_189,XP004944721.3_9031_74,,,B882|B686|B436,
G190_166_189,NP001361725.1_8364_76,,,B882|B436,
G190_166_189,NP001244125.1_7955_78,,,B436,
G190_166_189,XP011537056.1_9606_80,,,B882|B436,
G190_166_189,NP001193022.1_9913_81,,,B882|B686|B436,
G190_166_189,XP006520926.1_10090_83,,,B882|B686|B436,
G190_166_189,XP015137930.2_9031_85,,,B882|B686|B436,
G190_166_189,XP002932868.3_8364_87,,,B436,
G190_166_189,XP017210006.1_7955_89,,,B882|B686|B436,
G190_166_189,XP026694849.1_7719_92,,,B882|B686|B436,
G190_166_189,NP001255448.1_6239_94,,,B882|B686,
G190_166_189,NP996218.1_7227_97,,,,
G190_166_189,NP001074489.1_10090_99,,,B497|B585|B436,
G190_166_189,NP922932.2_9606_100,,,B497|B585|B436,
G190_166_189,NP001179945.1_9913_102,,,B497|B585|B436,
G190_166_189,XP025000716.1_9031_104,,,B497|B585|B436,
G190_166_189,XP002934253.2_8364_106,,,B497|B585|B436,
G190_166_189,XP017213499.1_7955_108,,,B497|B585|B436,
G190_166_189,NP112219.3_9606_110,,,B497|B585|B436,
G190_166_189,XP024849927.1_9913_111,,,B497|B585|B436,
G190_166_189,NP766207.2_10090_113,,,B497|B686|B585|B436,
G190_166_189,NP001376576.1_9031_115,,,B497|B585|B436,
G190_166_189,XP004911053.2_8364_117,,,B882|B497|B585|B436,
G190_166_189,NP001116746.1_7955_119,,,B497|B585|B436,
G190_166_189,XP002127703.2_7719_122,,,B882|B497|B686|B585|B436,
G190_166_189,NP001352835.1_9606_124,,,B882|B1068|B686,
G190_166_189,XP024853897.1_9913_125,,,B882|B1068|B686,
G190_166_189,NP001192272.1_10090_127,,,B1068|B686,
G190_166_189,XP004941721.2_9031_129,,,B882|B1068|B686,
G190_166_189,XP004917291.1_8364_131,,,B882|B1068|B686,
G190_166_189,XP005169942.1_7955_133,,,B1068,
G190_166_189,XP002121111.1_7719_135,,,B585,
G190_166_189,NP780710.2_10090_139,,,B882|B585|B436,
G190_166_189,XP016865394.1_9606_140,,,B882|B686|B585|B436,
G190_166_189,NP001179538.1_9913_142,,,B882|B686|B585|B436,
G190_166_189,XP003643023.3_9031_144,,,B882|B585|B436,
G190_166_189,XP017946319.2_8364_146,,,B882|B686|B585|B436,
G190_166_189,XP021332071.1_7955_148,,,B882|B686|B585|B436,
G190_166_189,XP005254194.1_9606_150,,,B882|B585|B436,
G190_166_189,XP024837785.1_9913_151,,,B882|B585|B436,
G190_166_189,NP001313280.1_10090_153,,,B882|B585|B436,
G190_166_189,XP003641878.3_9031_155,,,B882|B686|B585|B436,
G190_166_189,XP002933006.3_8364_157,,,B882|B686|B585|B436,
G190_166_189,XP021333676.1_7955_159,,,B882|B585|B436,
G190_166_189,XP002121766.2_7719_162,,,B882|B686|B585|B436,
G190_166_189,NP572247.2_7227_164,,,B436|B1967,
G190_166_189,XP006530858.1_10090_167,,,B882|B1068|B497|B686|B585|B436,
G190_166_189,NP955387.1_9606_168,,,B882|B1068|B497|B686|B585|B436,
G190_166_189,NP001179415.2_9913_170,,,B882|B1068|B497|B585|B436,
G190_166_189,XP015148002.3_9031_172,,,B1068|B497|B686|B585|B436,
G190_166_189,XP012817732.1_8364_174,,,B882|B1068|B497|B585|B436,
G190_166_189,XP009301678.1_7955_176,,,B882|B1068|B497|B686|B585|B436|B1967,
G190_166_189,NP742050.2_10090_178,,,B882|B1068|B497|B585|B436,
G190_166_189,NP620687.2_9606_179,,,B1068|B497|B585|B436,
G190_166_189,XP024837310.1_9913_181,,,B1068|B497|B585|B436,
G190_166_189,XP031760055.1_8364_183,,,B882|B1068|B497|B686|B585|B436,
G190_166_189,XP001922446.3_7955_185,,,B882|B1068|B497|B686|B585|B436,
G190_166_189,XP018673460.1_7719_188,,,B882|B1068|B497,
XP016877462.1_9606_191,XP016877462.1_9606_191,Q13616_CUL1|Q6DD88_ATL3|Q8TE56_ADAMTS17,,,
XP024838029.1_9913_192,XP024838029.1_9913_192,,,,
G193_191_192,XP016877462.1_9606_191,,,B1904|B1905|B12|B1907,
G193_191_192,XP024838029.1_9913_192,,,B1904|B1905|B12|B1907,
XP006540908.1_10090_194,XP006540908.1_10090_194,,,,
G195_193_194,XP016877462.1_9606_191,,,,B12
G195_193_194,XP024838029.1_9913_192,,,,B12
G195_193_194,XP006540908.1_10090_194,,,,
XP015147746.2_9031_196,XP015147746.2_9031_196,,,,
G197_195_196,XP016877462.1_9606_191,,,B1784|B585,
G197_195_196,XP024838029.1_9913_192,,,B1784|B585,
G197_195_196,XP006540908.1_10090_194,,,B1237|B1236|B585,
G197_195_196,XP015147746.2_9031_196,,,B1784|B1237|B1236|B585,
XP004912721.1_8364_198,XP004912721.1_8364_198,,,B585,
G199_197_198,XP016877462.1_9606_191,,,B1781,B585
G199_197_198,XP024838029.1_9913_192,,,B1781,B585
G199_197_198,XP006540908.1_10090_194,,,,B585
G199_197_198,XP015147746.2_9031_196,,,B1781,B585
G199_197_198,XP004912721.1_8364_198,,,B1781,B585
XP021333385.1_7955_200,XP021333385.1_7955_200,,,,
G201_199_200,XP016877462.1_9606_191,,,B1908|B1786|B1789|B1212|B1787|B1909|B583|B431,
G201_199_200,XP024838029.1_9913_192,,,B1908|B1786|B1212|B1909|B583|B431,
G201_199_200,XP006540908.1_10090_194,,,B1212|B583|B431,
G201_199_200,XP015147746.2_9031_196,,,B1786|B1789|B1212|B1787|B583|B431,
G201_199_200,XP004912721.1_8364_198,,,B1786|B1789|B1212|B1787|B1909|B583|B431,
G201_199_200,XP021333385.1_7955_200,,,B1908|B1786|B1789|B1312|B1212|B1787|B1315|B1909|B583|B431,
XP006525982.1_10090_202,XP006525982.1_10090_202,,,B658|B431,
NP598377.4_9606_203,NP598377.4_9606_203,Q93079_H2BC9,,B658|B431,
G204_202_203,XP006525982.1_10090_202,,,,B658|B431
G204_202_203,NP598377.4_9606_203,,,,B658|B431
NP001193043.1_9913_205,NP001193043.1_9913_205,,,,
G206_204_205,XP006525982.1_10090_202,,,B1504|B1506|B1505|B1500|B1515,
G206_204_205,NP598377.4_9606_203,,,B1931|B1504|B1933|B1937|B1506|B1505|B1932|B1935|B1500|B1515,
G206_204_205,NP001193043.1_9913_205,,,B1931|B1504|B1933|B1937|B1506|B1505|B1932|B1935|B1500|B1515,
XP413968.4_9031_207,XP413968.4_9031_207,,,,
G208_206_207,XP006525982.1_10090_202,,,B1527|B1525|B1509|B1501|B1508|B1503,
G208_206_207,NP598377.4_9606_203,,,B1527|B1525|B1509|B1501|B1508|B1503,
G208_206_207,NP001193043.1_9913_205,,,B1527|B1525|B1509|B1501|B1508|B1503,
G208_206_207,XP413968.4_9031_207,,,B1527|B1525|B1509|B1501|B1508|B1503,
XP031748801.1_8364_209,XP031748801.1_8364_209,,,,
G210_208_209,XP006525982.1_10090_202,,,B1502|B1519|B1532|B1533|B1538|B583|B431|B1524|B1528|B1529,
G210_208_209,NP598377.4_9606_203,,,B1502|B1519|B1532|B2027|B1533|B583|B431|B1524|B1528|B1529,
G210_208_209,NP001193043.1_9913_205,,,B1502|B1519|B1532|B1533|B583|B431|B1524|B1528|B1529,
G210_208_209,XP413968.4_9031_207,,,B1502|B1519|B1532|B1533|B1538|B583|B431|B1524|B1528|B1529,
G210_208_209,XP031748801.1_8364_209,,,B1502|B1519|B1532|B1533|B1538|B583|B431|B1524|B1528|B1529,
G211_201_210,XP016877462.1_9606_191,,,B561|B1512|B1226|B1940|B1242|B1208|B1233|B1216|B1523|B1539|B1224|B1220|B686|B1215|B585|B1228|B1513,B583
G211_201_210,XP024838029.1_9913_192,,,B561|B1512|B1226|B1242|B1208|B1239|B1233|B1216|B1523|B1539|B1224|B1220|B686|B1215|B585|B1228|B1513,B583
G211_201_210,XP006540908.1_10090_194,,,B561|B1226|B882|B1242|B1208|B1239|B1233|B1216|B1224|B1220|B686|B1215|B585|B1228,B583
G211_201_210,XP015147746.2_9031_196,,,B561|B1512|B1226|B882|B1242|B1208|B1239|B1233|B1216|B1523|B1224|B1220|B686|B1215|B585|B1228|B1513,B583
G211_201_210,XP004912721.1_8364_198,,,B561|B1226|B1940|B1242|B1208|B1514|B1233|B1216|B1523|B1539|B1224|B1220|B686|B1215|B585|B1228|B1513,B583
G211_201_210,XP021333385.1_7955_200,,,B561|B1512|B1226|B1242|B1208|B1938|B1216|B1523|B1224|B1220|B1215|B585|B1228|B1513,B583
G211_201_210,XP006525982.1_10090_202,,,B561|B1512|B1226|B882|B1242|B1208|B1514|B1239|B1216|B1523|B1539|B1224|B1220|B1215|B585|B1228|B1513,B583
G211_201_210,NP598377.4_9606_203,,,B561|B1512|B1226|B1940|B1242|B1208|B1938|B1514|B1216|B1523|B1224|B1220|B1215|B585|B1228|B1513,B583
G211_201_210,NP001193043.1_9913_205,,,B561|B1512|B1226|B1940|B1242|B1208|B1938|B1514|B1233|B1216|B1523|B1224|B1220|B686|B1215|B585|B1228|B1513,B583
G211_201_210,XP413968.4_9031_207,,,B561|B1512|B1226|B1242|B1208|B1514|B1239|B1233|B1216|B1523|B1539|B1224|B1220|B686|B1215|B585|B1228|B1513,B583
G211_201_210,XP031748801.1_8364_209,,,B561|B1512|B1226|B1242|B1208|B1514|B1239|B1233|B1216|B1523|B1539|B1224|B1220|B686|B1215|B585|B1228|B1513,B583
G212_190_211,NP008919.3_9606_0,,,B50|B442|B12,
G212_190_211,NP001094550.1_9913_1,,,B50|B442|B12,
G212_190_211,NP033751.3_10090_3,,,B50|B442|B12,
G212_190_211,XP015154663.2_9031_5,,,B50|B442|B12,
G212_190_211,NP001120905.1_8364_7,,,B50|B442|B12,
G212_190_211,XP021331598.1_7955_9,,,B50|B442|B12,
G212_190_211,NP005090.3_9606_11,,,B50|B442,
G212_190_211,NP858053.1_9913_12,,,B50|B442,
G212_190_211,NP766433.2_10090_14,,,B50|B442,
G212_190_211,XP015135540.3_9031_16,,,B50|B442,
G212_190_211,XP004919795.1_8364_18,,,B50|B442,
G212_190_211,NP038934.2_10090_21,,,B50|B442|B12,
G212_190_211,NP008968.4_9606_22,,,B50|B442|B12,
G212_190_211,NP001179254.1_9913_24,,,B50|B442|B12,
G212_190_211,XP015153616.2_9031_26,,,B50|B442|B12,
G212_190_211,XP002940685.2_8364_28,,,B50|B442,
G212_190_211,XP021328605.1_7955_30,,,B50|B442|B12,
G212_190_211,XP001341878.1_7955_31,,,B50|B442|B12,
G212_190_211,XP698107.4_7955_33,,,B50|B442|B12,
G212_190_211,XP021332165.1_7955_34,,,B50|B442|B12,
G212_190_211,NP001019310.1_10090_39,,,B50|B442|B12,
G212_190_211,NP620686.1_9606_40,,,B50|B442|B12,
G212_190_211,NP001179319.1_9913_42,,,B50|B442|B12,
G212_190_211,XP417874.2_9031_44,,,B50|B442|B12,
G212_190_211,XP012822382.1_8364_46,,,B50|B442|B12,
G212_190_211,XP021328606.1_7955_48,,,B50|B442|B12,
G212_190_211,XP001341935.2_7955_49,,,B50|B442|B12,
G212_190_211,NP001119901.1_7955_51,,,B50|B442|B12,
G212_190_211,NP035912.2_10090_55,,,B50|B442|B12,
G212_190_211,NP008969.2_9606_56,,,B50|B442|B12,
G212_190_211,NP001159987.1_9913_58,,,B50|B442|B12,
G212_190_211,XP425541.6_9031_60,,,B50|B442|B12,
G212_190_211,XP002935740.1_8364_62,,,B50|B442|B12,
G212_190_211,NP001289160.1_7955_64,,,B50|B442|B12,
G212_190_211,XP002121984.1_7719_67,,,B50|B442|B12,
G212_190_211,NP780523.3_10090_69,,,B50|B442|B12,
G212_190_211,NP891550.1_9606_70,,,B50|B442|B12,
G212_190_211,NP001193502.1_9913_72,,,B50|B442|B12,
G212_190_211,XP004944721.3_9031_74,,,B50|B1725|B442|B12,
G212_190_211,NP001361725.1_8364_76,,,B50|B1725|B442|B12,
G212_190_211,NP001244125.1_7955_78,,,B50|B1725|B442|B12,
G212_190_211,XP011537056.1_9606_80,,,B50|B442|B12,B1766
G212_190_211,NP001193022.1_9913_81,,,B50|B442|B12,
G212_190_211,XP006520926.1_10090_83,,,B50|B442|B12,
G212_190_211,XP015137930.2_9031_85,,,B50|B442|B12,
G212_190_211,XP002932868.3_8364_87,,,B50|B442|B12,
G212_190_211,XP017210006.1_7955_89,,,B50|B442,
G212_190_211,XP026694849.1_7719_92,,,B50|B442|B12,
G212_190_211,NP001255448.1_6239_94,,,B50|B442,B1766
G212_190_211,NP996218.1_7227_97,,,B50|B12,
G212_190_211,NP001074489.1_10090_99,,,B50|B442,
G212_190_211,NP922932.2_9606_100,,,B50|B442,
G212_190_211,NP001179945.1_9913_102,,,B50|B442,
G212_190_211,XP025000716.1_9031_104,,,B50|B442,
G212_190_211,XP002934253.2_8364_106,,,B50|B1725|B442,
G212_190_211,XP017213499.1_7955_108,,,B50|B442,
G212_190_211,NP112219.3_9606_110,,,B50|B442,
G212_190_211,XP024849927.1_9913_111,,,B50|B442|B1865,
G212_190_211,NP766207.2_10090_113,,,B50|B442,
G212_190_211,NP001376576.1_9031_115,,,B50|B442,
G212_190_211,XP004911053.2_8364_117,,,B50|B442,
G212_190_211,NP001116746.1_7955_119,,,B50|B442,
G212_190_211,XP002127703.2_7719_122,,,B50|B442,
G212_190_211,NP001352835.1_9606_124,,,,B1068
G212_190_211,XP024853897.1_9913_125,,,,B1068
G212_190_211,NP001192272.1_10090_127,,,,B1068
G212_190_211,XP004941721.2_9031_129,,,B1865,B1068
G212_190_211,XP004917291.1_8364_131,,,,B1068
G212_190_211,XP005169942.1_7955_133,,,B1865,B1068
G212_190_211,XP002121111.1_7719_135,,,B1992|B1865,
G212_190_211,NP780710.2_10090_139,,,B50|B442,
